date,sub_city,hour_block_start,time_window,day_of_week,reports_count,outage_occurred,avg_duration_hours,max_duration_hours,high_severity_outage,weather_condition,is_rainy,planned_notice_mode,representative_sefer,confidence_score_mean,respondents_count_proxy
2026-04-12,addis ketema,0,00:00-03:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,addis ketema,3,03:00-06:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,addis ketema,6,06:00-09:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,addis ketema,9,09:00-12:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,addis ketema,12,12:00-15:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,addis ketema,15,15:00-18:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,addis ketema,18,18:00-21:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,addis ketema,21,21:00-00:00,Sunday,1,0,1.0,1.0,0,clear,0,unknown,addisu gebeya,0.63,1
2026-04-12,akaki kality,0,00:00-03:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,akaki kality,3,03:00-06:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,akaki kality,6,06:00-09:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,akaki kality,9,09:00-12:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,akaki kality,12,12:00-15:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,akaki kality,15,15:00-18:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,akaki kality,18,18:00-21:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,akaki kality,21,21:00-00:00,Sunday,0,0,0.0,0.0,0,unknown,0,unknown,unknown,0.0,0
2026-04-12,arada,0,00:00-03:00,Sunday,1,0,1.0,1.0,0,cloudy,0,no,sidist kilo,0.59,1
